"emp_no","title","first_name","last_name","from_date","to_date"
36626,"Senior Staff","Fen","Genin","1986-05-09","9999-01-01"
36733,"Staff","Uma","Reinhard","1997-11-01","9999-01-01"
36844,"Staff","Hailing","Levergood","2000-01-12","9999-01-01"
36982,"Senior Engineer","Kotesh","Rajala","2000-06-23","9999-01-01"
37070,"Senior Staff","Jeong","Undy","1993-02-13","9999-01-01"
37592,"Engineer","Berni","Stranks","1985-11-05","1992-09-19"
37719,"Engineer","Nakhoon","Buescher","1997-06-12","1999-01-17"
37945,"Senior Engineer","Suzette","Butterworth","1994-02-19","9999-01-01"
38017,"Staff","Ulf","Himler","1994-01-02","1997-11-28"
38043,"Senior Engineer","Michaela","Randi","1994-11-23","9999-01-01"
38103,"Senior Engineer","Masasuke","Babu","1993-03-31","9999-01-01"
38168,"Senior Staff","Fumiko","Deverell","1996-08-14","9999-01-01"
38550,"Senior Engineer","JoAnne","Baez","1987-02-16","9999-01-01"
38593,"Senior Engineer","Huei","Orsini","1995-06-04","9999-01-01"
38947,"Senior Staff","Shuichi","Ruemmler","1998-03-08","9999-01-01"
39000,"Senior Staff","Martijn","Vendrig","2002-03-03","9999-01-01"
39036,"Staff","Changho","Cappelli","1996-05-04","9999-01-01"
39268,"Engineer","Constantijn","Awdeh","1987-10-20","1990-06-10"
39301,"Senior Staff","Rimon","Kawashima","1998-02-05","9999-01-01"
39341,"Senior Engineer","Mahmut","Lampe","1994-05-11","9999-01-01"
39952,"Staff","Otmar","Sudbeck","1998-07-22","9999-01-01"
40269,"Senior Staff","Toshiki","Ghazalie","2000-12-04","9999-01-01"
40283,"Senior Engineer","Sudhanshu","Boissier","1993-05-11","9999-01-01"
40301,"Senior Engineer","Spyrose","Felder","1996-06-16","9999-01-01"
40536,"Senior Engineer","Harngdar","Bernardinello","1996-02-29","9999-01-01"
40648,"Staff","Wayne","Erev","1990-09-19","1993-02-02"
40765,"Senior Staff","Michaela","Ramsak","2001-12-21","9999-01-01"
40773,"Senior Staff","Shimshon","Aingworth","1991-04-13","9999-01-01"
40785,"Engineer","Youpyo","Castellani","1998-09-04","1999-10-14"
40983,"Technique Leader","Marla","Cherinka","1986-12-01","9999-01-01"
41114,"Technique Leader","Petter","Thummel","1995-12-24","9999-01-01"
41137,"Senior Staff","Bikash","Buchter","1992-11-22","9999-01-01"
41357,"Engineer","Willard","Vernadat","1997-03-04","9999-01-01"
41518,"Senior Engineer","Keung","Schapiro","1998-04-19","9999-01-01"
41520,"Senior Engineer","Xiong","Uhrik","1988-03-21","9999-01-01"
41552,"Senior Engineer","Uno","Heyers","1999-09-28","2001-11-29"
41609,"Senior Staff","Yucai","Simmen","1987-10-13","9999-01-01"
42778,"Senior Staff","Shuji","Remmers","1996-12-17","9999-01-01"
42911,"Senior Engineer","Brigham","Eterovic","1999-10-08","9999-01-01"
42950,"Senior Staff","Shaleah","Eickenmeyer","1993-10-09","9999-01-01"
42955,"Engineer","Yucel","Lortz","1995-02-21","9999-01-01"
43154,"Senior Staff","Maha","Waterhouse","2002-07-04","9999-01-01"
43358,"Staff","Ottavia","Mitsuhashi","1989-08-18","1996-07-13"
43733,"Senior Staff","Huei","Boguraev","1998-12-31","9999-01-01"
43848,"Engineer","Phillip","Oxenboll","1999-05-26","9999-01-01"
44054,"Engineer","Alenka","Ritcey","1997-02-09","9999-01-01"
44265,"Engineer","Maria","Eppinger","1997-01-30","9999-01-01"
44540,"Senior Engineer","Mingzeng","Sadowski","1989-11-12","9999-01-01"
44900,"Senior Staff","Mark","Schwaller","2001-08-10","9999-01-01"
44959,"Senior Engineer","Volkmar","Uhrik","1995-01-16","9999-01-01"
44962,"Assistant Engineer","Sariel","Wynblatt","1996-05-18","9999-01-01"
45162,"Senior Engineer","Dulce","Speel","1996-10-18","9999-01-01"
45590,"Technique Leader","Masoud","Genin","1991-02-16","1994-06-01"
46000,"Senior Staff","Zhaofang","Penn","2002-07-24","9999-01-01"
46015,"Staff","Weiye","Masand","1995-07-24","2002-01-29"
46222,"Staff","Mrinalini","Strooper","1990-03-05","1992-09-04"
46328,"Senior Staff","Wuxu","Trogemann","1997-01-27","9999-01-01"
46531,"Assistant Engineer","Yaghout","Peng","1995-10-02","1997-10-07"
46811,"Senior Engineer","Junsik","Berendt","1988-04-27","9999-01-01"
46834,"Senior Staff","Tooru","Daescu","1998-03-20","9999-01-01"
46943,"Senior Engineer","Pasqua","Maraist","1998-12-06","9999-01-01"
47016,"Senior Staff","Toong","Litecky","1994-03-01","9999-01-01"
47139,"Engineer","Marco","Usdin","1996-10-29","9999-01-01"
47262,"Senior Engineer","Gonzalo","Binkley","1990-08-16","9999-01-01"
47515,"Senior Engineer","Naraig","Jenevein","1987-01-18","9999-01-01"
47702,"Senior Staff","Juyoung","Vieri","1999-08-12","9999-01-01"
47708,"Senior Staff","Edwin","Haldar","1995-07-12","9999-01-01"
48275,"Senior Staff","Sariel","Massonet","1993-11-19","9999-01-01"
48690,"Staff","Hitomi","Schaap","1999-09-27","9999-01-01"
48882,"Senior Engineer","Leen","Lamparter","2001-06-07","9999-01-01"
48904,"Senior Staff","Yuichiro","Malabarba","1999-03-07","9999-01-01"
48947,"Senior Staff","Filipp","Akaboshi","1992-05-20","9999-01-01"
49010,"Senior Staff","Kazuhisa","Benantar","1994-10-23","9999-01-01"
49017,"Senior Engineer","Filipp","Flanders","1999-11-26","9999-01-01"
49119,"Senior Engineer","Lena","Peek","1997-05-15","9999-01-01"
49177,"Engineer","Tze","Bach","1999-03-09","9999-01-01"
49464,"Staff","Siddarth","Cappelletti","1999-09-10","9999-01-01"
49477,"Senior Staff","Baocai","Leaver","1998-08-05","9999-01-01"
50293,"Engineer","Xinan","Rindone","1996-10-08","9999-01-01"
50311,"Senior Engineer","Mooi","Stafford","1996-10-06","9999-01-01"
50360,"Engineer","Sumali","Kushner","1999-10-30","2001-10-29"
50453,"Staff","Aron","Harbusch","1997-10-02","9999-01-01"
50587,"Technique Leader","Slavian","Yemenis","1993-08-06","1994-11-18"
50670,"Senior Staff","Boguslaw","Snedden","1993-02-20","9999-01-01"
50831,"Senior Engineer","Marie","Khalid","1990-10-27","9999-01-01"
51036,"Staff","Chriss","Fasbender","1995-05-23","9999-01-01"
51057,"Senior Staff","Theirry","Albarhamtoshy","1996-09-26","9999-01-01"
51060,"Senior Engineer","Youngkon","Rohrbach","1998-10-20","9999-01-01"
51118,"Staff","Fumiko","Mundy","1998-09-22","2001-08-20"
51142,"Senior Engineer","Rosine","Lakshmanan","1991-01-31","9999-01-01"
51502,"Senior Staff","Slavian","Munawer","1999-08-06","2001-09-04"
51868,"Assistant Engineer","Remmert","Munke","1991-09-22","1998-05-19"
52038,"Senior Engineer","Chikako","Armand","1985-05-18","9999-01-01"
52040,"Senior Staff","Phule","Heijenga","1998-02-21","9999-01-01"
52283,"Senior Staff","Trygve","Krupka","2001-03-11","9999-01-01"
52386,"Senior Staff","Adas","Denti","1995-05-30","9999-01-01"
52590,"Senior Staff","Jouni","Munoz","2000-11-25","9999-01-01"
52599,"Senior Engineer","Augustine","Mungall","1996-08-30","9999-01-01"
52639,"Senior Staff","Arup","Colorni","1996-02-05","9999-01-01"
52770,"Senior Staff","Shugo","Yurek","1998-08-28","9999-01-01"
52778,"Technique Leader","Alain","Penn","1986-05-03","9999-01-01"
52956,"Senior Engineer","Khalil","Picci","1992-03-20","9999-01-01"
52970,"Senior Engineer","Lobel","Werthner","1997-03-17","9999-01-01"
53088,"Senior Engineer","Mechthild","Lamma","1992-05-18","1993-06-03"
53278,"Senior Staff","Premsyl","Lortz","1999-02-01","9999-01-01"
53314,"Staff","Eberhardt","Carrera","1999-02-23","9999-01-01"
53431,"Senior Staff","Sham","Vasanthakumar","1985-10-24","9999-01-01"
53499,"Senior Engineer","Zdislav","Mandelberg","2000-09-10","9999-01-01"
53597,"Senior Engineer","Jiafu","Marchegay","1992-03-02","9999-01-01"
53746,"Staff","Manu","Erva","1989-03-17","1993-04-29"
53874,"Senior Staff","Bodo","Schade","1995-02-14","9999-01-01"
53891,"Staff","Olivera","Pargaonkar","1989-03-13","1992-03-29"
53924,"Senior Engineer","Arnould","Gaughan","1998-01-23","9999-01-01"
54198,"Senior Engineer","Shaowen","Segond","1993-01-06","9999-01-01"
54632,"Senior Staff","Etsuo","Serot","1997-06-14","9999-01-01"
54795,"Senior Staff","Sumant","Nergos","2000-05-07","9999-01-01"
54800,"Staff","Breannda","Cangellaris","2000-01-27","9999-01-01"
55121,"Engineer","Toshiko","Alblas","1995-07-20","1996-07-23"
55640,"Senior Engineer","Adit","Syrotiuk","1999-07-16","9999-01-01"
55670,"Senior Staff","Ulf","Ranft","1990-03-25","1996-05-17"
55687,"Senior Engineer","Shih","Lindqvist","1995-03-29","9999-01-01"
55799,"Senior Engineer","Jianwen","Litzler","1993-06-16","9999-01-01"
55857,"Senior Staff","Adin","Scallan","1996-09-14","9999-01-01"
56105,"Senior Engineer","Makato","Remmers","1994-04-16","9999-01-01"
56209,"Senior Engineer","Remzi","Douceur","1998-12-01","9999-01-01"
56415,"Senior Staff","Sigeru","Nivat","1999-10-24","9999-01-01"
56428,"Senior Staff","Olivera","Hanabata","1992-11-09","9999-01-01"
56682,"Assistant Engineer","Roded","Picco","1993-11-06","9999-01-01"
56829,"Engineer","Nagui","Gruenwald","1995-12-24","9999-01-01"
56847,"Senior Engineer","Menkae","Chinin","1989-08-19","9999-01-01"
57934,"Senior Engineer","Sanjoy","Boudaillier","1997-12-27","9999-01-01"
57982,"Senior Staff","Paloma","Benzaken","1989-10-17","1998-09-11"
58141,"Staff","Bezalel","Karner","1994-09-27","9999-01-01"
58147,"Senior Staff","Shigenori","Sullins","1988-02-24","9999-01-01"
58217,"Engineer","Kiyotoshi","Kusalik","1998-11-19","1999-06-26"
58384,"Senior Engineer","Mariusz","Vural","2001-11-14","9999-01-01"
58454,"Engineer","Ziya","Zambonelli","1999-06-29","9999-01-01"
58497,"Senior Staff","Yechiam","Cairo","1996-07-12","9999-01-01"
58601,"Staff","Sungwon","Asser","2000-01-27","2000-04-01"
58819,"Senior Staff","Gennady","Liesche","1987-12-02","9999-01-01"
58990,"Engineer","Palash","Trelles","1998-11-18","9999-01-01"
59195,"Technique Leader","Ronnie","Pollock","1990-06-19","9999-01-01"
59329,"Staff","Zissis","Bazzichi","1987-02-07","1991-01-25"
59640,"Staff","Zita","Hiltgen","1999-01-26","9999-01-01"
59661,"Staff","Saeko","Baik","1996-05-23","1999-08-15"
59869,"Senior Staff","Zsolt","Riefers","1994-09-25","9999-01-01"
59966,"Technique Leader","Steen","Salvesen","1993-02-03","9999-01-01"
60000,"Engineer","Heekeun","Emmart","2001-09-22","9999-01-01"
60091,"Senior Staff","Surveyors","Bade","1996-04-10","9999-01-01"
60238,"Staff","Erzsebet","Claffy","1997-03-03","9999-01-01"
60559,"Senior Engineer","Jeanna","Stemann","1996-08-29","9999-01-01"
60821,"Senior Staff","Moty","Mersereau","1999-09-03","9999-01-01"
60845,"Engineer","Bedir","Siegrist","1997-05-13","9999-01-01"
60875,"Senior Engineer","Rildo","Masaki","1997-01-14","9999-01-01"
60959,"Senior Staff","Tetsushi","Sridhar","1997-01-12","9999-01-01"
61147,"Staff","Leszek","Werthner","1999-03-03","9999-01-01"
61253,"Senior Engineer","Cheong","Uhrik","2001-06-04","9999-01-01"
61377,"Senior Staff","Dannz","Ohori","1994-01-17","9999-01-01"
61541,"Senior Engineer","Kasidit","Papsdorf","1999-08-17","9999-01-01"
61680,"Staff","Hauke","Templeman","1991-10-23","1999-02-21"
61873,"Engineer","Woody","Rusmann","2002-02-26","9999-01-01"
61983,"Staff","Sastry","Reeken","1990-07-24","1992-05-17"
62033,"Senior Engineer","Heeju","Cappelli","1994-01-15","9999-01-01"
62046,"Senior Engineer","Karlis","Nanard","2001-09-19","9999-01-01"
62167,"Senior Engineer","Mihalis","Haldar","1998-05-11","2001-02-03"
62245,"Engineer","Adel","Bressoud","1995-08-30","9999-01-01"
62384,"Senior Staff","Akeel","Litzler","1999-10-23","2001-12-21"
63294,"Senior Engineer","Tetsushi","Tanemo","2002-03-01","9999-01-01"
63419,"Senior Engineer","Hiroyasu","Seuren","1989-03-05","9999-01-01"
63441,"Staff","Hinrich","Scallan","1999-04-04","9999-01-01"
63444,"Senior Staff","Padma","Peres","1991-02-20","1994-12-22"
63566,"Senior Staff","Heekeun","Slaats","1999-01-12","9999-01-01"
63631,"Senior Engineer","Falguni","Cherinka","1986-09-08","9999-01-01"
63706,"Engineer","Sedat","Itzigehl","1997-07-31","9999-01-01"
64023,"Senior Engineer","Laurentiu","Benzmuller","1999-11-08","9999-01-01"
64209,"Senior Staff","Golgen","Schoegge","1988-02-26","9999-01-01"
64431,"Technique Leader","Faiza","Zongker","1995-12-10","2001-12-03"
64487,"Senior Engineer","Tsutomu","Rebaine","1994-09-17","9999-01-01"
64532,"Senior Engineer","Atilio","Segond","1996-11-28","9999-01-01"
64632,"Senior Staff","Zsolt","Brender","1996-02-21","9999-01-01"
64790,"Senior Engineer","Shin","Piveteau","1993-04-19","9999-01-01"
64828,"Staff","Krister","Pappas","1999-09-30","9999-01-01"
64984,"Senior Engineer","Eldridge","Eldridge","1991-06-24","9999-01-01"
65013,"Senior Engineer","Chandrasekaran","Peral","1992-02-29","2001-12-14"
65171,"Technique Leader","Jeane","Tasistro","1994-07-06","9999-01-01"
65539,"Senior Engineer","Aksel","Picaronny","1998-01-27","9999-01-01"
65883,"Senior Staff","Patricia","Pepe","1996-04-18","9999-01-01"
65998,"Senior Staff","Mandell","Alameldin","1996-04-08","9999-01-01"
66382,"Engineer","Domenico","Candan","1997-07-13","9999-01-01"
66530,"Staff","Dung","Leaver","1998-04-04","9999-01-01"
66643,"Engineer","Jianhao","Tomescu","1996-08-26","9999-01-01"
66702,"Senior Engineer","Deniz","Thibadeau","2000-09-26","9999-01-01"
66757,"Staff","Yonghong","Baig","1999-04-10","9999-01-01"
66807,"Senior Engineer","Aiman","Rosaz","1999-05-22","9999-01-01"
67320,"Senior Staff","Sadok","Lorys","1987-05-10","9999-01-01"
67548,"Staff","Fumitaka","Roohalamini","1998-06-27","9999-01-01"
67934,"Senior Engineer","Aiman","Gargeya","1993-03-07","9999-01-01"
68022,"Staff","Kristinn","Pearson","1995-05-07","1999-06-26"
68168,"Senior Staff","Marl","Thiria","1992-03-17","1996-12-31"
68263,"Staff","Fumiko","Bodoff","1991-12-19","1993-07-11"
68416,"Senior Engineer","Munenori","Debuse","1990-11-08","9999-01-01"
68608,"Senior Engineer","Yucai","Seghrouchni","1994-06-09","9999-01-01"
68633,"Senior Engineer","Chinhyun","Rassart","1993-07-29","9999-01-01"
68648,"Technique Leader","Jaques","DiGiano","1992-04-01","9999-01-01"
69052,"Senior Staff","Shietung","Shrader","1995-08-05","9999-01-01"
69219,"Senior Staff","Shuky","Redmiles","1994-07-06","9999-01-01"
69867,"Senior Staff","Miyeon","Rothe","1997-04-08","9999-01-01"
69878,"Engineer","Chinya","Cooke","1997-01-29","9999-01-01"
69936,"Assistant Engineer","Lalit","Unni","1998-12-06","9999-01-01"
70469,"Senior Staff","Tru","Miyakawa","1998-09-03","9999-01-01"
70780,"Assistant Engineer","Behnaam","Angelov","1995-01-29","1999-07-20"
70990,"Senior Engineer","Arumugam","Nitta","1990-03-23","9999-01-01"
71066,"Senior Staff","Domenick","Basart","2001-01-04","9999-01-01"
71141,"Senior Staff","Sajjad","Vitiello","1997-02-16","9999-01-01"
71188,"Senior Staff","Pranjal","Schapiro","1993-12-14","9999-01-01"
71243,"Senior Engineer","Kinh","Buchter","1993-03-29","9999-01-01"
71334,"Senior Engineer","Cathie","Peck","1998-04-12","9999-01-01"
71685,"Senior Engineer","Kristinn","Olano","1989-10-03","9999-01-01"
71710,"Assistant Engineer","Hitomi","Takanami","1997-12-15","9999-01-01"
71745,"Engineer","Adil","Laventhal","2001-05-13","9999-01-01"
72190,"Engineer","Sajjad","Waeselynck","1999-09-13","9999-01-01"
72194,"Senior Engineer","Feiyu","Siepmann","1998-10-01","9999-01-01"
72232,"Senior Engineer","Naraig","Veldwijk","1996-07-10","9999-01-01"
72640,"Senior Engineer","Honglan","Hutton","1998-10-04","9999-01-01"
72918,"Senior Staff","Takahira","Szilard","1993-01-15","9999-01-01"
73076,"Senior Engineer","Froduald","Feldhoffer","1993-03-16","9999-01-01"
73233,"Senior Engineer","Shigeo","Merey","1985-07-30","9999-01-01"
73516,"Senior Engineer","Qingxiang","Badache","1996-06-25","9999-01-01"
73743,"Engineer","Anneke","Bernardeschi","1999-11-01","9999-01-01"
